FREESTYLER,MEDIA,FLOW,ESTRUCTURA,INGENIO,RESPUESTA,PUNCHLINE,AGRESIVIDAD
Gazir,96,90,89,96,96,95,92
Valles T,95,97,93,94,95,95,95
El Menor,95,92,95,96,95,95,94
Stuart,94,89,90,95,94,94,92
Rapder,93,85,84,92,93,93,93
Chang,91,88,87,91,91,91,90
Katacrist,90,86,87,88,90,90,90
Éxodo Lirical,90,89,88,90,89,90,90
Airon,89,85,85,88,89,89,89
AdonysX,85,83,83,84,85,85,85
Chuty,97,93,93,96,97,97,98
Mecha,95,95,88,94,95,95,95
Fat N,93,89,88,93,93,93,92
Exe,92,89,89,92,93,92,92
Potencia,87,84,84,87,87,86,85
Teorema,94,94,93,94,95,94,93
