FREESTYLER,MEDIA,FLOW,ESTRUCTURA,INGENIO,RESPUESTA,PUNCHLINE,AGRESIVIDAD
Chuty,94,92,90,94,93,94,93
Aczino,94,89,88,94,94,94,93
Gazir,93,87,88,93,93,93,91
Sweetpain,92,89,91,93,92,92,93
Arkano,92,87,86,93,92,92,89
Zasko,92,94,93,90,89,92,91
Blon,92,87,90,93,91,92,90
Papo MC,92,91,90,92,92,92,91
Valles T,92,90,88,91,91,92,90
Skone,92,85,86,91,91,92,92
Mecha,92,88,87,90,91,92,91
Jaze,91,94,89,92,91,91,86
Nitro,91,85,86,90,91,92,91
Lobo Estepario ,91,87,86,90,91,90,91
Mnak,91,93,88,90,90,91,91
Stuart,91,87,89,92,91,91,90
Acertijo,90,86,85,88,90,90,89
Nekroos,90,86,86,90,90,92,91
Klan,90,84,84,89,90,91,90
Marithea,90,85,85,91,90,90,88
Skiper,90,85,86,90,91,90,88
Stick,90,84,85,89,90,91,88
Rapder,90,85,84,89,90,91,90
Tirpa,90,90,89,90,90,90,87
Larrix,90,85,86,91,90,91,89
Dtoke,90,83,84,90,91,92,90
Teorema,90,88,87,88,88,90,89
